idx,Arab,Gender,Age,Religion,Religiosity,pop_w,Area,FamilyStatus,Profession,Bornplace,Immigration1990,ImmigrationYear,FamilyNumber,Income,Education,VoteTend,Vote19,Vote19Other,VoteSure,c_Likud,c_Lavan,c_Avoda,c_NYamin,c_Meretz,c_UYamin,c_Liberman,c_Kahlon,c_Gesher,c_Gimel,c_Shas,c_Hadash,c_Balad,c_Zehut,c_Other,c_Other_txt,Friends,g_Likud,g_Lavan,g_Avoda,g_NYamin,g_Meretz,g_UYamin,g_Liberman,g_Kahlon,g_Gesher,g_Gimel,g_Shas,g_Hadash,g_Balad,g_Zehut,g_Other,g_Other_txt,VoteSecurity,VoteEconomic,VoteSocial,VoteClean,VoteDecent,VoteReligious,VoteTradition,Transp,Vote15,TwoStateCon,TwoStateFor,TwoStateAgainst,TwoStateComb
11,0,Woman,31,Jewish,Traditional,1.062425593,Haifa,Married,Full,Israel,,,3,SlightAboveAvg,AcademicFirst,1,Kahlon,"",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"",2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,"",4,3,2,1,5,6,7,5,Kahlon,2,,4,4
12,0,Woman,35,Jewish,Secular,0.871188986,Haifa,Single,Full,Israel,,,5,SlightBelowAvg,AcademicFirst,1,Lavan,"",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",3,2,1,5,4,6,7,3,Avoda,2,,1,1
13,0,Man,29,Jewish,Secular,0.871188986,South,Single,Full,Israel,,,4,LikeAvg,AcademicHigh,1,Float,"",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"",3,1,2,4,7,6,5,4,Likud,1,3,,3
14,0,Man,39,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,4,WellAboveAvg,AcademicHigh,1,Avoda,"",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",1,5,2,3,4,6,7,4,Avoda,2,,1,1
15,0,Woman,30,Jewish,Secular,0.871188986,Sharon,Married,Full,Abroad,SovietUnion,1991,4,SlightAboveAvg,Tertiary,1,Lavan,"",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",5,3,2,4,6,1,7,3,Kahlon,2,,2,2
16,0,Man,55,Jewish,TradRelig,1.369131627,South,Married,Full,Israel,,,6,SlightBelowAvg,Matriculation,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"",1,2,3,4,,5,,4,Likud,2,,5,5
17,0,Man,34,Jewish,Secular,0.871188986,Haifa,Single,Full,Israel,,,6,Decline,AcademicFirst,1,Avoda,"",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",4,2,1,6,3,5,7,3,Avoda,2,,3,3
18,0,Woman,35,Jewish,Secular,0.871188986,Haifa,Married,Partial,Abroad,SovietUnion,1995,5,WellAboveAvg,AcademicFirst,1,Zehut,"",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"",2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,"",1,2,3,,,,,3,Kahlon,2,,1,1
19,0,Woman,40,Jewish,Secular,0.871188986,South,Married,Full,Israel,,,5,WellAboveAvg,AcademicFirst,2,Lavan,"",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",2,5,3,1,4,7,6,4,Lapid,1,2,,2
20,0,Woman,60,Jewish,Secular,0.871188986,Jerusalem,Single,Full,Israel,,,3,SlightAboveAvg,AcademicHigh,1,Float,"",,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"",3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"",1,2,6,5,3,4,7,4,Meretz,1,1,,1
21,0,Woman,57,Jewish,Secular,0.871188986,TelAviv,Single,Full,Israel,,,3,SlightAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",1,2,3,5,6,4,7,4,Avoda,2,,1,1
22,0,Man,35,Jewish,Religious,0.778403312,South,Married,Full,Israel,,,5,SlightAboveAvg,AcademicHigh,1,Likud,"",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"",3,1,2,4,5,6,7,2,Likud,2,,4,4
23,0,Woman,41,Jewish,Secular,0.871188986,TelAviv,Divorced,Full,Israel,,,3,SlightBelowAvg,Tertiary,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,.,1,2,3,5,6,4,7,3,No,2,,3,3
24,0,Man,52,Jewish,Secular,0.871188986,TelAviv,Married,Independent,Israel,,,4,WellAboveAvg,Tertiary,1,Lavan,"",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",4,5,3,2,1,6,7,5,Avoda,1,1,,1
25,0,Man,59,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,3,WellAboveAvg,AcademicHigh,1,Likud,"",2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"",3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,"",1,2,3,7,6,5,4,2,Likud,1,5,,5
26,0,Man,56,Jewish,Secular,0.871188986,Haifa,Married,Full,Israel,,,5,WellAboveAvg,Tertiary,1,Avoda,"",2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,"",4,2,3,6,1,5,7,4,Lapid,2,,3,3
27,0,Man,51,Jewish,Secular,0.871188986,Sharon,Divorced,Retiree,Israel,,,5,SlightAboveAvg,AcademicFirst,2,Lavan,"",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",1,5,2,3,4,6,7,4,Avoda,1,2,,2
28,0,Man,40,Jewish,TradRelig,1.369131627,Sharon,Married,Full,Israel,,,7,SlightAboveAvg,AcademicFirst,1,NYamin,"",3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",1,4,3,5,6,2,7,2,Bait,1,3,,3
29,0,Man,46,Jewish,UltraOrth,1.633642713,South,Married,Full,Israel,,,6,WellBelowAvg,Tertiary,1,Gimel,"",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"",2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"",2,3,4,5,6,1,7,1,Gimel,1,5,,5
30,0,Man,33,Jewish,Secular,0.871188986,Sharon,Single,Full,Abroad,Other,,2,Decline,AcademicFirst,1,Lavan,"",2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,"",2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,"",4,1,2,3,5,7,6,5,Lapid,2,,2,2
31,0,Woman,54,Jewish,Religious,0.778403312,TelAviv,Married,Full,Israel,,,3,WellAboveAvg,AcademicFirst,1,Float,"",,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,"",1,4,2,5,6,3,7,4,Bait,2,,5,5
32,0,Woman,28,Jewish,Traditional,1.062425593,TelAviv,Single,Full,Israel,,,3,Decline,Matriculation,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"",1,2,4,,3,,,2,Likud,2,,5,5
33,0,Woman,24,Jewish,Secular,0.871188986,Haifa,Single,Partial,Israel,,,4,SlightBelowAvg,AcademicFirst,2,Lavan,"",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",4,5,2,1,3,6,7,4,Avoda,1,2,,2
34,0,Woman,56,Jewish,Secular,0.871188986,Haifa,Married,Full,Israel,,,2,Decline,Decline,1,Float,"",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,לא ידוע,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"",3,1,2,4,5,7,6,5,Lapid,2,,3,3
35,0,Man,65,Jewish,Secular,0.871188986,South,Married,Partial,Israel,,,2,SlightAboveAvg,AcademicFirst,1,Meretz,"",2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",6,4,3,1,2,5,7,4,Meretz,1,1,,1
36,0,Woman,29,Jewish,Secular,0.871188986,Haifa,Single,Full,Abroad,SovietUnion,1990,3,Decline,AcademicFirst,3,Float,"",,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"",3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"",3,1,2,4,5,7,6,2,Kahlon,1,3,,3
37,0,Woman,54,Jewish,Secular,0.871188986,Haifa,Single,Independent,Israel,,,1,,Matriculation,1,Avoda,"",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",6,1,2,5,3,4,7,4,Avoda,2,,1,1
38,0,Man,52,Jewish,Secular,0.871188986,TelAviv,Married,Independent,Israel,,,5,WellAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"",4,3,5,1,2,6,7,4,Lapid,1,3,,3
39,0,Man,27,Jewish,Religious,0.778403312,Haifa,Single,Student,Israel,,,4,SlightAboveAvg,Matriculation,2,UYamin,"",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,"",1,2,3,7,6,4,5,3,Bait,2,,5,5
40,0,Woman,51,Jewish,Religious,0.778403312,South,Married,Full,Israel,,,3,SlightAboveAvg,AcademicHigh,2,Float,"",,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",1,4,2,3,5,6,7,3,Bait,2,,4,4
41,0,Man,25,Jewish,Religious,0.778403312,Haifa,Single,Student,Israel,,,5,Decline,Matriculation,2,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"",2,1,6,7,5,3,4,1,Other,1,3,,3
42,0,Woman,34,Jewish,Traditional,1.062425593,TelAviv,Married,Partial,Israel,,,4,WellAboveAvg,AcademicHigh,1,Float,"",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,"",2,1,3,4,6,5,7,3,Lapid,2,,2,2
43,0,Man,43,Jewish,Traditional,1.062425593,South,Married,Full,Israel,,,5,WellAboveAvg,AcademicFirst,1,NYamin,"",3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"",2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"",1,3,2,,,,,2,Likud,2,,4,4
44,0,Woman,68,Jewish,Traditional,1.062425593,Sharon,Married,Retiree,Israel,,,2,SlightAboveAvg,AcademicHigh,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",1,3,2,4,6,5,7,4,Likud,1,2,,2
45,0,Woman,47,Jewish,UltraOrth,1.633642713,Sharon,Married,Full,Israel,,,5,WellAboveAvg,AcademicHigh,1,Gimel,"",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"",1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,"",3,7,6,5,4,2,1,3,Gimel,2,,5,5
46,0,Man,70,Jewish,Secular,0.871188986,Haifa,Married,Retiree,Abroad,Before1990,,2,SlightAboveAvg,AcademicFirst,1,Kahlon,"",2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"",3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"",1,2,3,4,7,5,6,4,Likud,1,1,,1
47,0,Woman,41,Jewish,Religious,0.778403312,South,Married,Partial,Israel,,,6,WellBelowAvg,AcademicFirst,1,UYamin,"",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,"",2,4,3,5,6,1,7,3,Yachad,1,5,,5
48,0,Man,38,Jewish,Secular,0.871188986,South,Married,Full,Abroad,SovietUnion,1990,7,SlightBelowAvg,Tertiary,1,Float,"",,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"",3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"",4,1,2,3,5,7,6,4,Liberman,1,1,,1
49,0,Man,41,Jewish,Secular,0.871188986,TelAviv,Married,SoldierKeva,Israel,,,5,LikeAvg,AcademicHigh,1,Lavan,"",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",1,2,4,3,5,6,7,5,Lapid,1,2,,2
50,0,Man,37,Jewish,Secular,0.871188986,Haifa,Married,Full,Israel,,,5,Decline,AcademicHigh,2,Kahlon,"",3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",2,3,1,,,,,2,Likud,2,,2,2
51,0,Woman,61,Jewish,Secular,0.871188986,South,Married,Independent,Abroad,Other,,2,SlightAboveAvg,Tertiary,1,Kahlon,"",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,"",1,3,2,5,4,6,7,3,Kahlon,1,1,,1
52,0,Woman,60,Jewish,Secular,0.871188986,South,Married,Full,Israel,,,2,SlightAboveAvg,AcademicHigh,1,Lavan,"",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"",2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",1,2,5,4,3,6,7,4,Lapid,2,,4,4
53,0,Man,29,Jewish,Religious,0.778403312,Haifa,Married,Full,Israel,,,6,SlightBelowAvg,AcademicFirst,1,NYamin,"",3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",1,3,2,6,5,7,4,2,Bait,1,3,,3
54,0,Man,28,Jewish,UltraOrth,1.633642713,Haifa,Married,Full,Israel,,,6,WellBelowAvg,HighSchool,1,Gimel,"",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"",1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"",4,5,1,7,6,3,2,1,Gimel,2,,5,5
55,0,Man,21,Jewish,UltraOrth,1.633642713,South,Single,Student,Israel,,,7,SlightAboveAvg,Tertiary,2,Float,"",,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"",3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,"",2,1,3,6,4,7,5,2,Couldnt,2,,4,4
56,0,Woman,25,Jewish,Traditional,1.062425593,South,Single,Full,Israel,,,3,WellBelowAvg,AcademicFirst,1,Lavan,"",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"",1,3,6,4,5,2,7,4,Likud,2,,4,4
57,0,Woman,44,Jewish,Secular,0.871188986,South,Married,Independent,Israel,,,7,SlightBelowAvg,HighSchool,1,Likud,"",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",1,2,3,4,5,7,6,4,Likud,1,5,,5
58,0,Man,20,Jewish,Secular,0.871188986,TelAviv,Single,Full,Israel,,,5,SlightAboveAvg,Matriculation,2,Likud,"",2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,"",2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",1,2,3,6,5,4,7,3,Couldnt,1,5,,5
59,0,Man,30,Jewish,TradRelig,1.369131627,Sharon,Married,Full,Israel,,,4,LikeAvg,Matriculation,1,Avoda,"",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",1,4,2,3,6,5,7,5,Likud,2,,1,1
60,0,Man,22,Jewish,Traditional,1.062425593,Jerusalem,Single,Soldier,Israel,,,4,WellBelowAvg,Tertiary,1,Zehut,"",2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"",1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,"",1,2,3,4,5,6,7,2,Liberman,2,,5,5
61,0,Man,31,Jewish,Traditional,1.062425593,TelAviv,Married,Full,Israel,,,2,SlightAboveAvg,Matriculation,2,Likud,"",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"",1,2,6,5,7,4,3,2,Likud,1,3,,3
62,0,Woman,50,Jewish,Secular,0.871188986,TelAviv,Single,Unemployed,Israel,,,2,SlightBelowAvg,Tertiary,1,Gesher,"",3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"",3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"",1,3,2,4,,,,4,Kahlon,1,5,,5
63,0,Man,20,Jewish,Traditional,1.062425593,Haifa,Single,Soldier,Israel,,,3,WellBelowAvg,Matriculation,1,UYamin,"",3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"",1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"",1,2,3,4,5,7,6,4,Likud,2,,1,1
64,0,Man,24,Jewish,TradRelig,1.369131627,South,Single,Student,Israel,,,4,LikeAvg,Tertiary,1,Zehut,"",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",1,2,4,6,5,3,7,2,Likud,1,4,,4
65,0,Man,45,Jewish,Traditional,1.062425593,Sharon,Married,Independent,Israel,,,5,SlightBelowAvg,Tertiary,1,NYamin,"",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",3,2,1,4,,,,4,Likud,2,,5,5
66,0,Man,69,Jewish,Secular,0.871188986,TelAviv,Married,Independent,Abroad,Other,,2,SlightAboveAvg,Tertiary,1,Avoda,"",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",1,2,3,4,5,6,7,5,Avoda,2,,1,1
67,0,Man,21,Jewish,Secular,0.871188986,Haifa,Single,Soldier,Israel,,,3,SlightAboveAvg,Matriculation,1,Avoda,"",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",1,4,3,6,2,5,7,3,Couldnt,2,,2,2
68,0,Man,42,Jewish,Traditional,1.062425593,Haifa,Married,Full,Israel,,,6,SlightBelowAvg,Tertiary,1,NYamin,"",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,"",1,2,3,4,5,7,6,3,Kahlon,2,,5,5
69,0,Woman,32,Jewish,Religious,0.778403312,South,Married,Full,Israel,,,6,SlightAboveAvg,AcademicHigh,1,Likud,"",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"",1,4,3,2,6,5,7,5,Likud,1,5,,5
70,0,Man,43,Jewish,Secular,0.871188986,TelAviv,Married,Student,Abroad,SovietUnion,1992,4,SlightAboveAvg,AcademicHigh,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,"",3,1,4,2,,,,4,Lapid,1,1,,1
71,0,Woman,51,Jewish,Secular,0.871188986,Haifa,Divorced,Independent,Israel,,,4,SlightAboveAvg,Tertiary,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"",1,2,3,5,4,,6,3,Lapid,1,3,,3
72,0,Man,26,Jewish,UltraOrth,1.633642713,Haifa,Married,Full,Israel,,,3,Decline,Tertiary,2,Gimel,"",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"",4,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,"",3,1,2,4,6,5,7,1,Gimel,1,1,,1
73,0,Man,20,Jewish,Secular,0.871188986,Haifa,Single,Full,Israel,,,4,WellAboveAvg,Matriculation,1,Float,"",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,מפלגות חברתיות וסוציאליות,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,מפלגה כלכלית-חברתית כלשהי,6,3,2,1,4,5,,5,Couldnt,1,1,,1
74,0,Woman,48,Jewish,Traditional,1.062425593,South,Married,Partial,Israel,,,5,LikeAvg,Matriculation,1,Float,"",,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",1,3,4,5,2,6,7,4,Lapid,1,1,,1
75,0,Man,43,Jewish,Secular,0.871188986,South,Married,Independent,Israel,,,5,SlightAboveAvg,AcademicFirst,1,Lavan,"",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",3,1,2,6,5,4,7,3,Lapid,2,,5,5
76,0,Woman,63,Jewish,Traditional,1.062425593,Jerusalem,Married,Full,Israel,,,5,SlightBelowAvg,Tertiary,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"",1,3,2,,4,,,1,Likud,1,2,,2
77,0,Woman,48,Jewish,Traditional,1.062425593,South,Married,Full,Israel,,,5,SlightAboveAvg,Tertiary,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"",2,3,1,5,4,7,6,1,Likud,1,1,,1
78,0,Woman,31,Jewish,UltraOrth,1.633642713,TelAviv,Married,Unemployed,Israel,,,3,SlightBelowAvg,AcademicFirst,1,Zehut,"",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,"",3,2,5,7,4,1,6,3,Other,1,5,,5
79,0,Woman,52,Jewish,UltraOrth,1.633642713,Jerusalem,Married,Full,Israel,,,8,WellBelowAvg,Tertiary,1,Gimel,"",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"",1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"",2,5,4,6,7,1,3,1,Gimel,1,5,,5
